Ziad Aboultaif,Conservateur,Edmonton Manning,Alberta
Scott Aitchison,Conservateur,Parry Sound—Muskoka,Ontario
Dan Albas,Conservateur,Central Okanagan—Similkameen—Nicola,Colombie-Britannique
L’honorable,Omar Alghabra,Libéral,Mississauga-Centre,Ontario
Leona Alleslev,Conservateur,Aurora—Oak Ridges—Richmond Hill,Ontario
Dean Allison,Conservateur,Niagara-Ouest,Ontario
William Amos,Libéral,Pontiac,Québec
L’honorable,Anita Anand,Libéral,Oakville,Ontario
Gary Anandasangaree,Libéral,Scarborough—Rouge Park,Ontario
Charlie Angus,NPD,Timmins—Baie James,Ontario
Mel Arnold,Conservateur,North Okanagan—Shuswap,Colombie-Britannique
René Arseneault,Libéral,Madawaska—Restigouche,Nouveau-Brunswick
Chandra Arya,Libéral,Nepean,Ontario
Niki Ashton,NPD,Churchill—Keewatinook Aski,Manitoba
Jenica Atwin,Parti vert,Fredericton,Nouveau-Brunswick
Taylor Bachrach,NPD,Skeena—Bulkley Valley,Colombie-Britannique
Vance Badawey,Libéral,Niagara-Centre,Ontario
L'honorable,Larry Bagnell,Libéral,Yukon,Yukon
L'honorable,Navdeep Bains,Libéral,Mississauga—Malton,Ontario
Yvan Baker,Libéral,Etobicoke-Centre,Ontario
Tony Baldinelli,Conservateur,Niagara Falls,Ontario
John Barlow,Conservateur,Foothills,Alberta
Michael Barrett,Conservateur,Leeds—Grenville—Thousand Islands et Rideau Lakes,Ontario
Xavier Barsalou-Duval,Bloc Québécois,Pierre-Boucher—Les Patriotes—Verchères,Québec
Jaime Battiste,Libéral,Sydney—Victoria,Nouvelle-Écosse
Mario Beaulieu,Bloc Québécois,La Pointe-de-l'Île,Québec
Terry Beech,Libéral,Burnaby-Nord—Seymour,Colombie-Britannique
Rachel Bendayan,Libéral,Outremont,Québec
L'honorable,Carolyn Bennett,Libéral,Toronto—St. Paul's,Ontario
Bob Benzen,Conservateur,Calgary Heritage,Alberta
L’honorable,Candice Bergen,Conservateur,Portage—Lisgar,Manitoba
Stéphane Bergeron,Bloc Québécois,Montarville,Québec
Luc Berthold,Conservateur,Mégantic—L'Érable,Québec
